Produced qty	Material	Registration date	Batch
1176340.00000	7155654	2015-09-14 00:00:00	373066
214480.00000	7136153	2015-10-05 00:00:00	269584
287767.00000	7199694	2015-09-14 00:00:00	491383
601254.00000	7140029	2015-09-18 00:00:00	17506
268119.00000	7126930	2015-09-28 00:00:00	330236
4662129.00000	7139950	2015-06-17 00:00:00	268538
4782674.00000	7139950	2015-06-17 00:00:00	279159
3119374.00000	7139950	2015-06-17 00:00:00	396908
222196.00000	7130252	2015-10-29 00:00:00	59214
3864263.00000	7139950	2015-06-24 00:00:00	317896
4781152.00000	7139950	2015-06-26 00:00:00	148108
3945479.00000	7134525	2015-07-23 00:00:00	97598
68277.00000	7193064	2015-10-29 00:00:00	23624
2250497.00000	7139950	2015-06-17 00:00:00	478902
3245314.00000	7139950	2015-06-22 00:00:00	304027
1801465.00000	7139950	2015-06-19 00:00:00	76638
253810.00000	7129629	2015-07-21 00:00:00	459772
48160.00000	7176600	2015-10-12 00:00:00	195026
3958970.00000	7139950	2015-06-23 00:00:00	302606
3219067.00000	7139950	2015-06-22 00:00:00	148598
3476951.00000	7139950	2015-06-24 00:00:00	90752
321887.00000	7155646	2015-11-18 00:00:00	178973
-37458.00000	7139950	2015-10-27 00:00:00	498978
2231619.00000	7139950	2015-08-04 00:00:00	498978
591508.00000	7160747	2015-08-25 00:00:00	446016
3709694.00000	7138385	2015-08-14 00:00:00	67070
197924.00000	7155646	2015-09-14 00:00:00	173683
489224.00000	7165927	2015-09-23 00:00:00	187855
401706.00000	7172460	2015-10-09 00:00:00	158792
401813.00000	7132271	2015-10-15 00:00:00	412340
248959.00000	7170114	2015-07-09 00:00:00	392455
3733072.00000	7149042	2015-08-28 00:00:00	87547
4580136.00000	7149042	2015-08-10 00:00:00	262996
3827859.00000	7149042	2015-08-12 00:00:00	534904
3256685.00000	7149042	2015-08-12 00:00:00	185537
520724.00000	7172478	2015-07-24 00:00:00	485098
1560716.00000	7172478	2015-08-14 00:00:00	268772
202678.00000	7199597	2015-08-10 00:00:00	442146
3795616.00000	7134533	2015-09-18 00:00:00	77432
259339.00000	7171960	2015-09-17 00:00:00	143063
204976.00000	7169965	2015-09-18 00:00:00	65514
841936.00000	7126930	2015-09-28 00:00:00	251007
482503.00000	7132395	2015-09-28 00:00:00	209795
1342402.00000	7165935	2015-09-23 00:00:00	433496
194103.00000	7167970	2015-10-05 00:00:00	417703
1079785.00000	7138555	2016-01-13 00:00:00	510263
216103.00000	7132280	2015-12-08 00:00:00	347541
4249510.00000	7149042	2015-09-16 00:00:00	344156
3435930.00000	7149042	2015-09-17 00:00:00	526663
2266117.00000	7149042	2015-09-18 00:00:00	486612
57645.00000	7136013	2015-10-20 00:00:00	120774
124524.00000	7169965	2015-11-24 00:00:00	19658
90262.00000	7143788	2016-01-18 00:00:00	220242
55067.00000	7130058	2016-04-27 00:00:00	356938
454547.00000	7126930	2015-09-24 00:00:00	396136
-1145983.00000	7126930	2015-09-28 00:00:00	396136
2223225.00000	7139950	2015-07-28 00:00:00	344624
2004055.00000	7139950	2015-07-28 00:00:00	495422
3707702.00000	7139950	2015-07-30 00:00:00	533784
63097.00000	7145357	2015-08-12 00:00:00	322088
4297900.00000	7139950	2015-09-10 00:00:00	195497
4666332.00000	7139950	2015-08-04 00:00:00	330510
3130323.00000	7139950	2015-08-07 00:00:00	412091
63924.00000	7160747	2015-10-27 00:00:00	64499
120555.00000	7132387	2015-11-18 00:00:00	349702
177994.00000	7160747	2015-11-24 00:00:00	24754
2514031.00000	7139950	2015-07-23 00:00:00	375095
3189983.00000	7139950	2015-07-21 00:00:00	227719
363672.00000	7172109	2015-07-24 00:00:00	201476
542496.00000	7172460	2015-07-24 00:00:00	77852
574321.00000	7155646	2015-08-07 00:00:00	406955
354690.00000	7132077	2015-08-27 00:00:00	350797
411370.00000	7163240	2015-09-01 00:00:00	31127
531997.00000	7134916	2015-11-18 00:00:00	163013
548909.00000	7171943	2015-08-07 00:00:00	92734
1824499.00000	7132751	2015-09-01 00:00:00	391280
66417.00000	7151284	2015-09-18 00:00:00	278677
165274.00000	7192683	2015-10-08 00:00:00	127879
7267776.00000	7132271	2015-10-19 00:00:00	393112
3461311.00000	7139950	2015-08-03 00:00:00	506055
-6574.00000	7139950	2015-09-29 00:00:00	506055
3023450.00000	7139950	2015-07-31 00:00:00	98373
2725959.00000	7139950	2015-08-04 00:00:00	352783
201863.00000	7165927	2015-12-02 00:00:00	253824
37886.00000	7176600	2016-08-15 00:00:00	188602
4361427.00000	7139950	2015-09-29 00:00:00	38614
4411407.00000	7139950	2015-08-25 00:00:00	529859
2694440.00000	7139950	2015-08-25 00:00:00	357294
182728.00000	7169957	2015-11-24 00:00:00	195501
4357937.00000	7149042	2015-09-22 00:00:00	288672
3633392.00000	7149042	2015-09-22 00:00:00	270741
2127154.00000	7149042	2015-09-22 00:00:00	479300
79275.00000	7193067	2015-10-29 00:00:00	5331
53073.00000	7198175	2015-12-07 00:00:00	447098
903696.00000	7155654	2015-10-02 00:00:00	489319
1212595.00000	7199600	2015-10-05 00:00:00	152597
8412052.00000	7132280	2015-10-08 00:00:00	408733
167204.00000	7130279	2015-11-18 00:00:00	326542
247304.00000	7139012	2015-10-20 00:00:00	116184
661659.00000	7138555	2016-01-13 00:00:00	33736
112711.00000	7169159	2016-01-14 00:00:00	140893
65378.00000	7130058	2016-01-18 00:00:00	432798
209744.00000	7142099	2015-08-03 00:00:00	338731
99070.00000	7143940	2015-08-25 00:00:00	169091
2711059.00000	7132263	2015-08-24 00:00:00	290731
128883.00000	7160755	2015-09-14 00:00:00	288349
1143318.00000	7155638	2015-09-14 00:00:00	297405
765544.00000	7163258	2015-09-17 00:00:00	324721
43896.00000	7163223	2015-09-14 00:00:00	107302
45677.00000	7151276	2015-09-14 00:00:00	446996
138312.00000	7136820	2015-09-17 00:00:00	373318
277759.00000	7129610	2015-09-17 00:00:00	159523
73143.00000	7169949	2015-09-18 00:00:00	391661
1133318.00000	7126794	2015-09-28 00:00:00	93313
161484.00000	7143761	2015-09-28 00:00:00	469442
4061841.00000	7132263	2015-10-02 00:00:00	228873
