Material	Quantity	Batch
7263198	2	21784
7263198	-3	21784
7263198	3	489771
7263198	-4	489771
7263171	1	456973
7263198	0	332484
7263171	1	102788
7263171	1	225518
7263171	0	504203
7263171	2	216737
7534481	92	496372
7192037	75	190687
7193102	146	437288
7196954	87	264726
7193112	24	288894
7191871	283	25092
7198027	745	3138
7193548	49	180898
7192010	149	117130
7192010	112	117130
7191871	193	150686
7191995	214	20178
7191804	17807	384091
7191995	652	188324
7192821	435	346662
7198027	-496	250380
7198027	958	250380
7193424	11	458463
7192588	773	449141
7193408	174	61712
7193424	83	20883
7193485	35	346518
7193112	218	126900
7191847	37	380115
7196954	342	123167
7193102	0	398213
7192741	84	472235
7192944	5	280141
7193424	242	410209
7191278	0	355642
7193548	974	165291
7191278	0	198993
7191278	0	60071
7184956	29	115059
7193188	84	336554
7198027	183	86071
7193082	218	68299
7191278	0	138158
7192944	23	265818
7193291	393	419763
7193074	721	24731
7193078	643	348856
7191278	0	26496
7192588	638	173455
7192588	6	173455
7193278	186	467695
7193281	85	15964
7193548	9	139187
7192588	191	333949
7193462	80	296080
7192937	111	183766
7191979	33	456229
7193116	204	233724
7171536	0	211668
7166605	0	155596
7171536	0	381146
7191804	16	62020
7171536	0	306434
7186223	0	201426
7186223	0	275764
7191820	6	536851
7186223	0	60398
7191812	12	461257
7193452	443	296874
7186223	0	33062
7192588	360	253997
7192822	62	169250
7192822	-1	169250
7192822	2	169250
7191243	0	535387
7191243	1	400565
7171536	0	286466
7171536	1	286466
7171536	0	286466
7171536	1	286466
7191278	0	59057
7191278	1	59057
7191278	2	59057
7191278	0	148407
7191278	0	148407
7191278	1	148407
7166605	0	118820
7166605	2	118820
7166605	3	118820
7191995	20210	375185
7166605	3	241243
7166605	3	241243
7198043	13819	399738
7191871	12689	230090
7198027	593	64624
7171536	3	382545
7171536	1	382545
7171536	1	382545
7171536	0	382545
7166605	0	216645
7166605	1	216645
7191243	0	171902
7191804	2838	328
7193530	1777	502521
7191820	7103	105750
7191812	2431	209536
7191243	2	443729
7191243	0	443729
7191243	3	443729
7191243	0	443729
7193530	1089	141606
7191243	1	298155
7191847	25	36939
7186223	0	298727
7191243	0	213810
7191243	0	345474
7171536	1	339809
7171536	2	339809
7171536	1	339809
7171536	0	339809
7191278	1	254826
7191278	2	254826
7191278	3	254826
7191278	0	254826
7191243	0	524381
7171536	1	67193
7171536	0	67193
7171536	0	67193
7191243	1	103891
7191243	2	103891
7191243	4	103891
7191243	1	103891
7191243	1	103891
7193548	-10	172187
7193548	232	172187
7171536	3	163460
7171536	2	163460
7171536	0	163460
7171536	0	182654
7171536	1	182654
7171536	2	182654
7171536	3	182654
7171536	0	182654
7193020	17	188816
7193020	0	188816
7194676	10	265299
7193418	135	112575
7193699	724	82549
7193695	1	374013
7193685	1	307227
7193685	105	307227
7192944	38	78309
7191847	15	65690
7193098	112	348828
7265409	42	157804
7265263	89	450772
7265409	50	138777
7265263	124	466047
7265263	32	64656
7265344	11	486800
7265344	24	446307
7265409	15	449292
7265344	53	213726
7250932	56	130233
7192449	65	479691
7192451	115	273337
7192215	55	472729
7192860	14	337594
7192654	670	161328
7192941	122	61308
7191464	345	477663
7192509	441	164739
7192509	57	164739
7192428	13	262187
7192193	140	379815
7193089	312	226877
7193086	249	533399
7192487	185	252206
7192487	63	252206
7192487	91	252206
7168950	8094	164481
7191863	21	455569
7192926	216	228106
7192505	166	438741
7192240	9	452044
7192240	30	452044
7192240	27	452044
7192240	36	452044
7192240	31	452044
7192266	1033	532116
7192266	53	532116
7192828	723	205475
7192832	123	232070
7192043	7132	48934
7192043	2000	340653
7192532	0	241435
7192534	8	429916
7192536	2	173691
7192654	221	523239
7192831	226	255147
7192485	72	432191
7137826	13983	295945
7137826	1214	243124
7168950	7585	401310
7137818	1011	261451
7192258	55	369058
7192438	30	396552
7192440	0	57441
7137826	13548	453070
7137826	2753	170760
7192266	1	296616
7192933	415	510929
7137818	1712	415112
7191839	922	150034
7168233	1	212072
7192509	1571	82429
7192282	297	141697
7192866	3	274337
7177445	2	136455
7130317	188	498423
7192869	8	145167
7192872	4	424690
7192428	294	156753
7192444	185	20894
7191880	92	432412
7191987	4	278755
7126123	14513	309279
7198760	3	314042
7192926	73	42549
